n, x1, x2, y, phi1, phi2, Ax, Ay, Bx, By, C, time
0, -0.169178, 0.166025, 0.205537, 2.053559, 2.016281, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 0.000000
1, -0.166853, 0.166810, 0.207696, 2.031790, 2.030676, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 24434.000000
2, -0.167690, 0.167722, 0.207131, 2.033958, 2.034227, -0.353000, 0.299670, 0.353000, 0.299670, 1.178097, 23342.000000
3, -0.168802, 0.168843, 0.206243, 2.037320, 2.037697, -0.353000, 0.299008, 0.353000, 0.299008, 1.178097, 23167.000000
4, -0.170426, 0.170486, 0.204939, 2.042228, 2.042795, -0.353000, 0.298017, 0.353000, 0.298017, 1.178097, 23534.000000
5, -0.172588, 0.172669, 0.203209, 2.048849, 2.049633, -0.353000, 0.296701, 0.353000, 0.296701, 1.178097, 23554.000000
6, -0.175275, 0.175378, 0.201068, 2.057203, 2.058211, -0.353000, 0.295066, 0.353000, 0.295066, 1.178097, 25184.000000
7, -0.178468, 0.178590, 0.198536, 2.067295, 2.068523, -0.353000, 0.293122, 0.353000, 0.293122, 1.178097, 24300.000000
8, -0.182139, 0.182279, 0.195640, 2.079124, 2.080556, -0.353000, 0.290880, 0.353000, 0.290880, 1.178097, 24233.000000
9, -0.186258, 0.186410, 0.192408, 2.092685, 2.094285, -0.353000, 0.288352, 0.353000, 0.288352, 1.178097, 24273.000000
10, -0.190789, 0.190946, 0.188874, 2.107964, 2.109672, -0.353000, 0.285552, 0.353000, 0.285552, 1.178097, 24013.000000
11, -0.195692, 0.195846, 0.185074, 2.124935, 2.126669, -0.353000, 0.282498, 0.353000, 0.282498, 1.178097, 24042.000000
12, -0.200923, 0.201062, 0.181048, 2.143558, 2.145216, -0.353000, 0.279207, 0.353000, 0.279207, 1.178097, 23494.000000
13, -0.206435, 0.206547, 0.176836, 2.163779, 2.165243, -0.353000, 0.275699, 0.353000, 0.275699, 1.178097, 24677.000000
14, -0.212177, 0.212251, 0.172479, 2.185525, 2.186670, -0.353000, 0.271996, 0.353000, 0.271996, 1.178097, 24993.000000
15, -0.218099, 0.218123, 0.168020, 2.208707, 2.209410, -0.353000, 0.268118, 0.353000, 0.268118, 1.178097, 24379.000000
16, -0.224150, 0.224114, 0.163498, 2.233221, 2.233372, -0.353000, 0.264089, 0.353000, 0.264089, 1.178097, 24923.000000
17, -0.230279, 0.230178, 0.158952, 2.258945, 2.258459, -0.353000, 0.259933, 0.353000, 0.259933, 1.178097, 24626.000000
18, -0.236438, 0.236268, 0.154418, 2.285744, 2.284573, -0.353000, 0.255673, 0.353000, 0.255673, 1.178097, 24128.000000
19, -0.242579, 0.242345, 0.149929, 2.313466, 2.311615, -0.353000, 0.251334, 0.353000, 0.251334, 1.178097, 23831.000000
20, -0.248659, 0.248372, 0.145515, 2.341953, 2.339490, -0.353000, 0.246940, 0.353000, 0.246940, 1.178097, 25094.000000
21, -0.254639, 0.254316, 0.141202, 2.371039, 2.368102, -0.353000, 0.242516, 0.353000, 0.242516, 1.178097, 23952.000000
22, -0.260483, 0.260149, 0.137011, 2.400556, 2.397359, -0.353000, 0.238087, 0.353000, 0.238087, 1.178097, 24867.000000
23, -0.266164, 0.265849, 0.132962, 2.430348, 2.427170, -0.353000, 0.233675, 0.353000, 0.233675, 1.178097, 24274.000000
24, -0.271659, 0.271394, 0.129068, 2.460274, 2.457438, -0.353000, 0.229304, 0.353000, 0.229304, 1.178097, 23380.000000
25, -0.276951, 0.276769, 0.125340, 2.490219, 2.488049, -0.353000, 0.224998, 0.353000, 0.224998, 1.178097, 23396.000000
26, -0.282030, 0.281953, 0.121785, 2.520088, 2.518862, -0.353000, 0.220778, 0.353000, 0.220778, 1.178097, 23195.000000
27, -0.286890, 0.286930, 0.118409, 2.549804, 2.549698, -0.353000, 0.216665, 0.353000, 0.216665, 1.178097, 22625.000000
28, -0.291525, 0.291679, 0.115217, 2.579287, 2.580336, -0.353000, 0.212680, 0.353000, 0.212680, 1.178097, 23197.000000
29, -0.295928, 0.296178, 0.112214, 2.608429, 2.610516, -0.353000, 0.208842, 0.353000, 0.208842, 1.178097, 22662.000000
30, -0.300089, 0.300406, 0.109405, 2.637081, 2.639962, -0.353000, 0.205171, 0.353000, 0.205171, 1.178097, 23011.000000
31, -0.303997, 0.304346, 0.106794, 2.665047, 2.668394, -0.353000, 0.201685, 0.353000, 0.201685, 1.178097, 23455.000000
32, -0.307637, 0.307984, 0.104385, 2.692086, 2.695552, -0.353000, 0.198399, 0.353000, 0.198399, 1.178097, 22655.000000
33, -0.310996, 0.311311, 0.102182, 2.717936, 2.721203, -0.353000, 0.195330, 0.353000, 0.195330, 1.178097, 26011.000000
34, -0.314062, 0.314325, 0.100185, 2.742325, 2.745146, -0.353000, 0.192492, 0.353000, 0.192492, 1.178097, 22957.000000
35, -0.316826, 0.317024, 0.098396, 2.764991, 2.767206, -0.353000, 0.189899, 0.353000, 0.189899, 1.178097, 23120.000000
36, -0.319282, 0.319412, 0.096814, 2.785691, 2.787230, -0.353000, 0.187563, 0.353000, 0.187563, 1.178097, 22959.000000
37, -0.321425, 0.321491, 0.095436, 2.804205, 2.805086, -0.353000, 0.185494, 0.353000, 0.185494, 1.178097, 23090.000000
38, -0.323252, 0.323265, 0.094261, 2.820340, 2.820652, -0.353000, 0.183703, 0.353000, 0.183703, 1.178097, 23130.000000
39, -0.324764, 0.324740, 0.093288, 2.833935, 2.833821, -0.353000, 0.182197, 0.353000, 0.182197, 1.178097, 23025.000000
40, -0.325962, 0.325916, 0.092513, 2.844862, 2.844494, -0.353000, 0.180985, 0.353000, 0.180985, 1.178097, 22951.000000
41, -0.326847, 0.326797, 0.091936, 2.853028, 2.852583, -0.353000, 0.180071, 0.353000, 0.180071, 1.178097, 23435.000000
42, -0.327422, 0.327382, 0.091554, 2.858379, 2.858007, -0.353000, 0.179462, 0.353000, 0.179462, 1.178097, 23176.000000
43, -0.327692, 0.327671, 0.091367, 2.860894, 2.860698, -0.353000, 0.179159, 0.353000, 0.179159, 1.178097, 23501.000000
44, -0.327659, 0.327661, 0.091375, 2.860586, 2.860602, -0.353000, 0.179166, 0.353000, 0.179166, 1.178097, 23588.000000
45, -0.327328, 0.327349, 0.091578, 2.857498, 2.857688, -0.353000, 0.179484, 0.353000, 0.179484, 1.178097, 22939.000000
46, -0.326701, 0.326731, 0.091976, 2.851694, 2.851949, -0.353000, 0.180113, 0.353000, 0.180113, 1.178097, 23475.000000
47, -0.325781, 0.325805, 0.092571, 2.843250, 2.843412, -0.353000, 0.181051, 0.353000, 0.181051, 1.178097, 24437.000000
48, -0.324566, 0.324567, 0.093364, 2.832255, 2.832140, -0.353000, 0.182296, 0.353000, 0.182296, 1.178097, 23331.000000
49, -0.323055, 0.323015, 0.094360, 2.818800, 2.818229, -0.353000, 0.183844, 0.353000, 0.183844, 1.178097, 24943.000000
50, -0.321244, 0.321148, 0.095559, 2.802978, 2.801809, -0.353000, 0.185690, 0.353000, 0.185690, 1.178097, 23681.000000
51, -0.319128, 0.318966, 0.096967, 2.784883, 2.783039, -0.353000, 0.187828, 0.353000, 0.187828, 1.178097, 23315.000000
52, -0.316699, 0.316469, 0.098588, 2.764611, 2.762097, -0.353000, 0.190252, 0.353000, 0.190252, 1.178097, 22810.000000
53, -0.313950, 0.313657, 0.100426, 2.742263, 2.739176, -0.353000, 0.192951, 0.353000, 0.192951, 1.178097, 23097.000000
54, -0.310871, 0.310530, 0.102488, 2.717939, 2.714475, -0.353000, 0.195917, 0.353000, 0.195917, 1.178097, 24229.000000
